reservation_id,guest_id,hotel_id,booking_date,check_in_date,check_out_date,reservation_status,lead_time_days,market_segment,distribution_channel,adr_booked,customer_type
39,39,80,2015-05-18,2015-07-02,2015-07-07,Canceled,45,Online TA,TA/TO,117.81,Transient
40,40,86,2015-05-18,2015-07-02,2015-07-07,Check-Out,45,Offline TA/TO,TA/TO,79.50,Contract
41,41,87,2015-06-16,2015-07-02,2015-07-07,Check-Out,16,Direct,Direct,123.00,Transient
42,42,88,2015-04-23,2015-07-02,2015-07-07,Check-Out,70,Direct,Direct,137.00,Transient
43,43,89,2015-03-17,2015-07-02,2015-07-09,Check-Out,107,Online TA,TA/TO,110.70,Transient
44,44,90,2015-05-16,2015-07-02,2015-07-09,Canceled,47,Online TA,TA/TO,153.00,Transient
45,45,96,2015-03-28,2015-07-02,2015-07-09,Check-Out,96,Offline TA/TO,TA/TO,58.95,Transient
46,46,97,2015-03-11,2015-07-02,2015-07-09,Check-Out,113,Offline TA/TO,TA/TO,82.88,Transient-Party
47,47,98,2015-04-03,2015-07-02,2015-07-09,Check-Out,90,Offline TA/TO,TA/TO,82.35,Contract
48,48,99,2015-05-13,2015-07-02,2015-07-09,Check-Out,50,Online TA,TA/TO,119.35,Transient
49,49,100,2015-03-11,2015-07-02,2015-07-09,Check-Out,113,Offline TA/TO,TA/TO,67.58,Transient-Party
50,50,6,2015-03-31,2015-07-02,2015-07-13,Check-Out,93,Offline TA/TO,TA/TO,56.01,Contract
51,51,7,2015-04-17,2015-07-02,2015-07-16,Check-Out,76,Offline TA/TO,TA/TO,110.70,Contract
52,52,8,2015-06-29,2015-07-02,2015-07-03,Check-Out,3,Online TA,TA/TO,88.20,Transient
53,53,9,2015-07-01,2015-07-02,2015-07-03,Check-Out,1,Online TA,TA/TO,147.00,Transient
54,54,16,2015-07-01,2015-07-02,2015-07-03,Check-Out,1,Direct,Direct,107.00,Transient
55,55,17,2015-07-02,2015-07-02,2015-07-03,Check-Out,0,Direct,Direct,147.00,Transient
56,56,18,2015-07-02,2015-07-02,2015-07-03,Check-Out,0,Online TA,TA/TO,117.90,Transient
57,57,19,2015-07-02,2015-07-02,2015-07-03,Check-Out,0,Direct,Direct,123.00,Transient
58,58,20,2015-06-18,2015-07-02,2015-07-04,Check-Out,14,Online TA,TA/TO,98.00,Transient
59,59,26,2015-06-22,2015-07-02,2015-07-04,Check-Out,10,Online TA,TA/TO,117.81,Transient
60,60,27,2015-06-27,2015-07-02,2015-07-04,Check-Out,5,Online TA,TA/TO,135.00,Transient
61,61,28,2015-06-15,2015-07-02,2015-07-05,Check-Out,17,Direct,Direct,133.00,Transient
62,62,29,2015-03-31,2015-07-02,2015-07-05,Check-Out,93,Offline TA/TO,TA/TO,58.95,Contract
63,63,30,2015-06-29,2015-07-02,2015-07-05,Canceled,3,Online TA,TA/TO,136.33,Transient
64,64,36,2015-06-23,2015-07-03,2015-07-05,Check-Out,10,Online TA,TA/TO,153.00,Transient
65,65,37,2015-06-30,2015-07-03,2015-07-05,Check-Out,3,Online TA,TA/TO,110.50,Transient
66,66,38,2015-05-13,2015-07-03,2015-07-05,Check-Out,51,Online TA,TA/TO,97.00,Transient
67,67,39,2015-04-23,2015-07-03,2015-07-05,Canceled,71,Offline TA/TO,TA/TO,110.30,Transient
68,68,40,2015-05-01,2015-07-03,2015-07-05,Canceled,63,Online TA,TA/TO,82.00,Transient
69,69,46,2015-05-02,2015-07-03,2015-07-05,Canceled,62,Online TA,TA/TO,97.00,Transient
70,70,47,2015-03-24,2015-07-03,2015-07-05,Canceled,101,Online TA,TA/TO,73.80,Transient
71,71,48,2015-07-01,2015-07-03,2015-07-05,Check-Out,2,Offline TA/TO,TA/TO,91.50,Transient
72,72,49,2015-06-18,2015-07-03,2015-07-05,Check-Out,15,Online TA,TA/TO,114.50,Transient
73,73,50,2015-05-13,2015-07-03,2015-07-05,Canceled,51,Online TA,TA/TO,110.30,Transient
74,74,56,2015-06-30,2015-07-03,2015-07-06,Check-Out,3,Online TA,TA/TO,90.90,Transient
75,75,57,2015-05-16,2015-07-03,2015-07-06,Canceled,48,Online TA,TA/TO,123.00,Transient
76,76,58,2015-07-01,2015-07-03,2015-07-07,Check-Out,2,Online TA,TA/TO,122.00,Transient
77,77,59,2015-04-22,2015-07-03,2015-07-07,Check-Out,72,Offline TA/TO,TA/TO,110.70,Transient
78,78,60,2015-04-13,2015-07-03,2015-07-11,Check-Out,81,Offline TA/TO,TA/TO,85.86,Transient
79,79,66,2015-03-26,2015-07-03,2015-07-12,Check-Out,99,Offline TA/TO,TA/TO,58.95,Contract
80,80,67,2014-06-30,2015-07-03,2015-07-13,Canceled,368,Offline TA/TO,TA/TO,55.68,Contract
81,81,68,2014-07-04,2015-07-03,2015-07-13,Check-Out,364,Offline TA/TO,TA/TO,55.68,Contract
82,82,69,2015-04-13,2015-07-03,2015-07-13,Canceled,81,Direct,Direct,124.00,Transient
83,83,70,2015-03-26,2015-07-03,2015-07-13,Check-Out,99,Offline TA/TO,TA/TO,111.15,Contract
84,84,76,2014-08-13,2015-07-03,2015-07-17,Check-Out,324,Offline TA/TO,TA/TO,134.73,Contract
85,85,77,2015-04-25,2015-07-03,2015-07-17,Check-Out,69,Online TA,TA/TO,92.45,Transient
86,86,78,2015-04-15,2015-07-03,2015-07-24,Canceled,79,Offline TA/TO,TA/TO,108.73,Transient
87,87,79,2015-06-21,2015-07-03,2015-07-04,Check-Out,12,Online TA,TA/TO,73.80,Transient
88,88,80,2015-06-24,2015-07-03,2015-07-04,Check-Out,9,Online TA,TA/TO,98.00,Transient
89,89,86,2015-07-02,2015-07-03,2015-07-04,Check-Out,1,Online TA,TA/TO,131.00,Transient
90,90,87,2015-06-12,2015-07-03,2015-07-04,Check-Out,21,Online TA,TA/TO,123.00,Transient
91,91,88,2015-06-24,2015-07-03,2015-07-04,Check-Out,9,Online TA,TA/TO,94.71,Transient
92,92,89,2015-03-16,2015-07-03,2015-07-04,Check-Out,109,Online TA,TA/TO,123.00,Transient
93,93,90,2015-03-16,2015-07-03,2015-07-05,Canceled,109,Online TA,TA/TO,123.00,Transient
94,94,96,2015-04-22,2015-07-03,2015-07-05,Canceled,72,Online TA,TA/TO,73.80,Transient
95,95,97,2015-05-01,2015-07-03,2015-07-10,Canceled,63,Online TA,TA/TO,117.00,Transient
96,96,98,2015-05-01,2015-07-03,2015-07-10,Check-Out,63,Offline TA/TO,TA/TO,196.54,Transient
97,97,99,2015-03-24,2015-07-03,2015-07-10,Check-Out,101,Online TA,TA/TO,99.30,Transient
98,98,100,2015-03-23,2015-07-03,2015-07-10,Check-Out,102,Direct,Direct,90.95,Transient
99,99,6,2015-06-30,2015-07-04,2015-07-07,Check-Out,4,Direct,Direct,92.67,Transient
100,100,7,2015-03-28,2015-07-04,2015-07-07,Check-Out,98,Offline TA/TO,TA/TO,71.55,Transient
